,Hospital,Hospital Latitude,Hospital Longitude,Venue City,Venue,Venue Latitude,Venue Longitude,Venue Category,yelp_link,rating,reviews
29,Agnews Developmental Center,37.3946625,-121.9591252,Santa Clara,Pho Van Restaurant Deli & Food To Go,37.38030122803989,-121.95638877145127,Asian Restaurant,https://www.yelp.com/biz/pho-van-restaurant-deli-and-food-to-go-santa-clara,[],[]
30,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Sidestreet Pho,37.76286736692297,-122.24512760499984,Vietnamese Restaurant,https://www.yelp.com/biz/sidestreet-pho-alameda,4,822 
31,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Julie's Coffee & Tea Shop,37.76163172964298,-122.24514096622651,Café,https://www.yelp.com/biz/julies-coffee-and-tea-shop-alameda,4 star rating,668 reviews
32,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Trabocco Kitchen and Cocktails,37.75713787134351,-122.25175007078096,Italian Restaurant,https://www.yelp.com/biz/trabocco-kitchen-and-cocktails-alameda,4,1263 
33,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Burma Superstar,37.76365207464914,-122.24341058434636,Burmese Restaurant,https://www.yelp.com/biz/burma-superstar-alameda,4,1909 
34,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Doggy-Style Hot Dogs,37.76164791404326,-122.2448704651682,Hot Dog Joint,https://www.yelp.com/biz/doggy-style-hot-dogs-alameda,4.5,335 
35,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Troy,37.764388254681705,-122.24336512944782,Middle Eastern Restaurant,https://www.yelp.com/biz/troy-alameda,4,400 
36,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,The Star,37.76419977433267,-122.24271068207528,Pizza Place,https://www.yelp.com/biz/the-star-alameda,4,382 
37,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Scolari's Good Eats,37.76271351016542,-122.24425000350969,American Restaurant,https://www.yelp.com/biz/scolaris-good-eats-alameda,4 star rating,1039 reviews
38,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Utzutzu,37.76492492362601,-122.24212074743394,Sushi Restaurant,https://www.yelp.com/biz/utzutzu-alameda,4.5,74 
39,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Cholita Linda,37.76353653082272,-122.24353982187077,Mexican Restaurant,https://www.yelp.com/biz/cholita-linda-alameda,4.5 star rating,248 reviews
40,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Mama Papa Lithuania Restaurant & Tea House,37.76210683807732,-122.24463793353877,Eastern European Restaurant,https://www.yelp.com/biz/mama-papa-lithuania-restaurant-and-tea-house-alameda,[],[]
41,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Chipotle Mexican Grill,37.7561207,-122.2501137,Mexican Restaurant,https://www.yelp.com/biz/chipotle-mexican-grill-alameda,3,290 
42,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Ole's Waffle Shop,37.7655786157402,-122.24175194819543,Diner,https://www.yelp.com/biz/oles-waffle-shop-alameda,3.5,1326 
43,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Feel Good Bakery,37.767750699381665,-122.23950204783034,Bakery,https://www.yelp.com/biz/feel-good-bakery-alameda,4,452 
44,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Speisekammer,37.76609848921766,-122.24010536478022,German Restaurant,https://www.yelp.com/biz/speisekammer-alameda,4,1368 
45,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,La Penca Azul,37.76523028629,-122.24181879012305,Mexican Restaurant,https://www.yelp.com/biz/la-penca-azul-alameda,3.5,2039 
46,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Yojimbo Sushi,37.76154595570039,-122.24538161797024,Sushi Restaurant,https://www.yelp.com/biz/yojimbo-sushi-alameda,4 star rating,1416 reviews
47,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Q's Halal Chicken,37.7645832052382,-122.24381319506689,Afghan Restaurant,https://www.yelp.com/biz/qs-halal-chicken-alameda,4.5,653 
48,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Angela's,37.76741473549111,-122.23983803589473,Middle Eastern Restaurant,https://www.yelp.com/biz/angelas-alameda,4,29 
49,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,The Hobnob,37.76294880651091,-122.24412880285443,New American Restaurant,https://www.yelp.com/biz/the-hobnob-alameda,3.5,725 
50,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,East End,37.767940986662886,-122.2395316162635,Pizza Place,https://www.yelp.com/biz/east-end-alameda,3.5,514 
51,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Greens & Grains,37.767746960720096,-122.23932906610449,Salad Place,https://www.yelp.com/biz/greens-and-grains-alameda,4.5,143 
52,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Firehouse Subs,37.76493530301929,-122.24354267120361,Sandwich Place,https://www.yelp.com/biz/firehouse-subs-alameda,3.5,104 
53,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Five Guys,37.75625251358997,-122.2507636963125,Burger Joint,https://www.yelp.com/biz/five-guys-alameda,3,229 
54,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Thai Noodle House of Alameda,37.76814078556131,-122.2394042536639,Thai Restaurant,https://www.yelp.com/biz/thai-noodle-house-of-alameda-alameda,3.5,192 
55,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Wild Ginger,37.76199521489302,-122.24482334100455,Noodle House,https://www.yelp.com/biz/wild-ginger-alameda,4,321 
56,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Crispian Bakery,37.76827385160991,-122.23934076057596,Bakery,https://www.yelp.com/biz/crispian-bakery-alameda,4.5,232 
57,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Dragon Rouge,37.77147516503753,-122.2373188837247,Vietnamese Restaurant,https://www.yelp.com/biz/dragon-rouge-alameda,3.5,959 
58,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,China House Restaurant,37.76530936205821,-122.24209909098413,Chinese Restaurant,https://www.yelp.com/biz/china-house-restaurant-alameda,4,235 
59,Alameda Hospital,37.762677000000004,-122.2541547,Alameda,Jim's Homestyle Diner & Coffee Shop,37.76699035333822,-122.24102999699605,Diner,https://www.yelp.com/biz/jims-homestyle-diner-and-coffee-shop-alameda,3.5 star rating,649 reviews
60,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,b. on the go,37.788138801211716,-122.4403802693906,Bakery,https://www.yelp.com/biz/b.-on-the-go-san-francisco,4.5 star rating,2533 reviews
61,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Cheese Steak Shop,37.78557338837787,-122.43994587574682,Sandwich Place,https://www.yelp.com/biz/cheese-steak-shop-san-francisco,4 star rating,928 reviews
62,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,Sweet Maple,37.78582655159091,-122.43504808100744,Breakfast Spot,https://www.yelp.com/biz/sweet-maple-san-francisco,4,3671 
63,Alcatraz Hospital,37.7854667,-122.43931809999998,San Francisco,The City Taqueria,37.78671806139214,-122.43998997858637,Mexican Restaurant,https://www.yelp.com/biz/the-city-taqueria-san-francisco,3.5,321 
