,county,% of Cases,deaths
95590,Alameda,19.758,59
95596,Contra Costa,10.718,25
95609,Marin,2.886,12
95615,Napa,0.852,2
95625,San Francisco,18.703,23
95628,San Mateo,13.973,48
95630,Santa Clara,26.98,107
95634,Solano,3.229,4
95635,Sonoma,2.899,2
